,EE,NO_4,RU,SE_1,SE_3,sum
2019-01-01 01:00:00+02:00,0.0,21.0,0.0,67.0,0.0,88.0
2019-01-01 02:00:00+02:00,0.0,5.0,0.0,35.0,0.0,40.0
2019-01-01 03:00:00+02:00,0.0,4.0,0.0,0.0,0.0,4.0
2019-01-01 04:00:00+02:00,0.0,1.0,0.0,0.0,0.0,1.0
2019-01-01 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 06:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 07:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 08:00:00+02:00,0.0,8.0,0.0,0.0,0.0,8.0
2019-01-01 09:00:00+02:00,0.0,21.0,0.0,0.0,0.0,21.0
2019-01-01 10:00:00+02:00,0.0,27.0,0.0,0.0,0.0,27.0
2019-01-01 11:00:00+02:00,65.0,26.0,0.0,0.0,0.0,91.0
2019-01-01 12:00:00+02:00,178.0,25.0,0.0,0.0,0.0,203.0
2019-01-01 13:00:00+02:00,224.0,34.0,0.0,0.0,0.0,258.0
2019-01-01 14:00:00+02:00,247.0,38.0,0.0,0.0,0.0,285.0
2019-01-01 15:00:00+02:00,243.0,26.0,0.0,0.0,0.0,269.0
2019-01-01 16:00:00+02:00,309.0,20.0,0.0,0.0,0.0,329.0
2019-01-01 17:00:00+02:00,359.0,22.0,0.0,0.0,0.0,381.0
2019-01-01 18:00:00+02:00,320.0,25.0,0.0,0.0,0.0,345.0
2019-01-01 19:00:00+02:00,212.0,26.0,0.0,0.0,0.0,238.0
2019-01-01 20:00:00+02:00,166.0,29.0,0.0,0.0,0.0,195.0
2019-01-01 21:00:00+02:00,118.0,29.0,0.0,108.0,0.0,255.0
2019-01-01 22:00:00+02:00,81.0,18.0,0.0,0.0,0.0,99.0
2019-01-01 23:00:00+02:00,29.0,27.0,0.0,0.0,0.0,56.0
2019-01-02 00:00:00+02:00,70.0,18.0,0.0,0.0,0.0,88.0
2019-01-02 01:00:00+02:00,0.0,18.0,0.0,0.0,0.0,18.0
2019-01-02 02:00:00+02:00,0.0,6.0,0.0,0.0,0.0,6.0
2019-01-02 03:00:00+02:00,0.0,8.0,0.0,0.0,0.0,8.0
2019-01-02 04:00:00+02:00,0.0,8.0,0.0,0.0,0.0,8.0
2019-01-02 05:00:00+02:00,0.0,9.0,0.0,0.0,0.0,9.0
2019-01-02 06:00:00+02:00,0.0,27.0,0.0,0.0,0.0,27.0
2019-01-02 07:00:00+02:00,0.0,21.0,0.0,0.0,0.0,21.0
