,EE,NO_4,RU,SE_1,SE_3,sum
2019-01-01 01:00:00+02:00,39.0,0.0,976.0,0.0,1198.0,2213.0
2019-01-01 02:00:00+02:00,123.0,0.0,660.0,0.0,1201.0,1984.0
2019-01-01 03:00:00+02:00,33.0,0.0,639.0,0.0,1201.0,1873.0
2019-01-01 04:00:00+02:00,66.0,0.0,644.0,93.0,1201.0,2004.0
2019-01-01 05:00:00+02:00,56.0,4.0,642.0,338.0,1201.0,2241.0
2019-01-01 06:00:00+02:00,128.0,3.0,661.0,495.0,1201.0,2488.0
2019-01-01 07:00:00+02:00,93.0,0.0,659.0,613.0,1201.0,2566.0
2019-01-01 08:00:00+02:00,221.0,0.0,664.0,693.0,1201.0,2779.0
2019-01-01 09:00:00+02:00,145.0,0.0,1152.0,217.0,1201.0,2715.0
2019-01-01 10:00:00+02:00,18.0,0.0,1403.0,342.0,1201.0,2964.0
2019-01-01 11:00:00+02:00,0.0,0.0,1460.0,455.0,1201.0,3116.0
2019-01-01 12:00:00+02:00,0.0,0.0,1454.0,517.0,1201.0,3172.0
2019-01-01 13:00:00+02:00,0.0,0.0,1467.0,380.0,1201.0,3048.0
2019-01-01 14:00:00+02:00,0.0,0.0,1451.0,294.0,1201.0,2946.0
2019-01-01 15:00:00+02:00,0.0,0.0,1461.0,440.0,1201.0,3102.0
2019-01-01 16:00:00+02:00,0.0,0.0,1470.0,552.0,1201.0,3223.0
2019-01-01 17:00:00+02:00,0.0,0.0,1469.0,385.0,1201.0,3055.0
2019-01-01 18:00:00+02:00,0.0,0.0,1478.0,264.0,1201.0,2943.0
2019-01-01 19:00:00+02:00,0.0,0.0,1460.0,267.0,1125.0,2852.0
2019-01-01 20:00:00+02:00,0.0,0.0,1461.0,88.0,1181.0,2730.0
2019-01-01 21:00:00+02:00,0.0,0.0,1461.0,0.0,1134.0,2595.0
2019-01-01 22:00:00+02:00,0.0,0.0,1462.0,136.0,1136.0,2734.0
2019-01-01 23:00:00+02:00,0.0,0.0,1459.0,10.0,1202.0,2671.0
2019-01-02 00:00:00+02:00,0.0,0.0,1346.0,187.0,1202.0,2735.0
2019-01-02 01:00:00+02:00,22.0,0.0,760.0,434.0,1202.0,2418.0
2019-01-02 02:00:00+02:00,64.0,0.0,627.0,373.0,1202.0,2266.0
2019-01-02 03:00:00+02:00,94.0,0.0,627.0,293.0,1202.0,2216.0
2019-01-02 04:00:00+02:00,96.0,0.0,640.0,357.0,1202.0,2295.0
2019-01-02 05:00:00+02:00,39.0,0.0,644.0,558.0,1202.0,2443.0
2019-01-02 06:00:00+02:00,161.0,0.0,654.0,501.0,1202.0,2518.0
2019-01-02 07:00:00+02:00,9.0,0.0,1129.0,256.0,1202.0,2596.0
2019-01-02 08:00:00+02:00,0.0,0.0,1412.0,721.0,679.0,2812.0
2019-01-02 09:00:00+02:00,0.0,0.0,1474.0,1218.0,216.0,2908.0
2019-01-02 10:00:00+02:00,0.0,0.0,1475.0,1105.0,497.0,3077.0
2019-01-02 11:00:00+02:00,0.0,0.0,1486.0,1225.0,334.0,3045.0
2019-01-02 12:00:00+02:00,0.0,0.0,1464.0,1378.0,323.0,3165.0
2019-01-02 13:00:00+02:00,0.0,0.0,1462.0,1244.0,486.0,3192.0
2019-01-02 14:00:00+02:00,0.0,0.0,1491.0,1201.0,485.0,3177.0
2019-01-02 15:00:00+02:00,0.0,0.0,1500.0,1035.0,723.0,3258.0
2019-01-02 16:00:00+02:00,0.0,0.0,1479.0,1185.0,917.0,3581.0
2019-01-02 17:00:00+02:00,0.0,2.0,1476.0,984.0,897.0,3359.0
2019-01-02 18:00:00+02:00,0.0,19.0,1482.0,847.0,516.0,2864.0
2019-01-02 19:00:00+02:00,0.0,25.0,1477.0,1073.0,398.0,2973.0
2019-01-02 20:00:00+02:00,0.0,17.0,1473.0,1011.0,323.0,2824.0
2019-01-02 21:00:00+02:00,0.0,15.0,1495.0,664.0,497.0,2671.0
