,BE,DE_LU,GB,NO_2,DK_1,sum
2019-01-01 00:00:00+01:00,2852.0,0.0,0.0,0.0,,2852.0
2019-01-01 01:00:00+01:00,2490.0,0.0,197.0,0.0,,2687.0
2019-01-01 02:00:00+01:00,2015.0,0.0,607.0,0.0,,2622.0
2019-01-01 03:00:00+01:00,1968.0,0.0,689.0,0.0,,2657.0
2019-01-01 04:00:00+01:00,2288.0,0.0,297.0,39.0,,2624.0
2019-01-01 05:00:00+01:00,2512.0,0.0,332.0,0.0,,2844.0
2019-01-01 06:00:00+01:00,2574.0,0.0,400.0,0.0,,2974.0
2019-01-01 07:00:00+01:00,2464.0,0.0,433.0,0.0,,2897.0
2019-01-01 08:00:00+01:00,2630.0,0.0,1.0,0.0,,2631.0
2019-01-01 09:00:00+01:00,2381.0,0.0,182.0,0.0,,2563.0
2019-01-01 10:00:00+01:00,2381.0,0.0,782.0,0.0,,3163.0
2019-01-01 11:00:00+01:00,2427.0,0.0,886.0,0.0,,3313.0
2019-01-01 12:00:00+01:00,2215.0,0.0,1009.0,0.0,,3224.0
2019-01-01 13:00:00+01:00,2265.0,0.0,1025.0,0.0,,3290.0
2019-01-01 14:00:00+01:00,2096.0,0.0,1025.0,0.0,,3121.0
2019-01-01 15:00:00+01:00,2006.0,0.0,1025.0,0.0,,3031.0
2019-01-01 16:00:00+01:00,1950.0,0.0,913.0,0.0,,2863.0
2019-01-01 17:00:00+01:00,2034.0,0.0,848.0,0.0,,2882.0
2019-01-01 18:00:00+01:00,1758.0,0.0,1084.0,0.0,,2842.0
2019-01-01 19:00:00+01:00,1573.0,0.0,1086.0,164.0,,2823.0
2019-01-01 20:00:00+01:00,1715.0,0.0,1086.0,365.0,,3166.0
2019-01-01 21:00:00+01:00,1327.0,0.0,1086.0,322.0,,2735.0
2019-01-01 22:00:00+01:00,1338.0,0.0,1025.0,51.0,,2414.0
2019-01-01 23:00:00+01:00,1417.0,0.0,1025.0,141.0,,2583.0
2019-01-02 00:00:00+01:00,1173.0,0.0,974.0,46.0,,2193.0
2019-01-02 01:00:00+01:00,1125.0,0.0,944.0,359.0,,2428.0
2019-01-02 02:00:00+01:00,1140.0,0.0,944.0,367.0,,2451.0
2019-01-02 03:00:00+01:00,1068.0,0.0,944.0,643.0,,2655.0
2019-01-02 04:00:00+01:00,1088.0,0.0,974.0,547.0,,2609.0
2019-01-02 05:00:00+01:00,830.0,0.0,974.0,712.0,,2516.0
2019-01-02 06:00:00+01:00,693.0,0.0,921.0,273.0,,1887.0
2019-01-02 07:00:00+01:00,735.0,0.0,992.0,0.0,,1727.0
2019-01-02 08:00:00+01:00,470.0,0.0,1014.0,0.0,,1484.0
2019-01-02 09:00:00+01:00,780.0,0.0,1085.0,0.0,,1865.0
2019-01-02 10:00:00+01:00,874.0,0.0,994.0,0.0,,1868.0
2019-01-02 11:00:00+01:00,930.0,0.0,1085.0,0.0,,2015.0
2019-01-02 12:00:00+01:00,1081.0,0.0,1024.0,0.0,,2105.0
2019-01-02 13:00:00+01:00,917.0,0.0,964.0,0.0,,1881.0
2019-01-02 14:00:00+01:00,725.0,65.0,1025.0,0.0,,1815.0
2019-01-02 15:00:00+01:00,532.0,112.0,1009.0,0.0,,1653.0
2019-01-02 16:00:00+01:00,588.0,268.0,125.0,0.0,,981.0
2019-01-02 17:00:00+01:00,609.0,110.0,352.0,0.0,,1071.0
2019-01-02 18:00:00+01:00,1338.0,214.0,359.0,0.0,,1911.0
2019-01-02 19:00:00+01:00,1599.0,320.0,436.0,0.0,,2355.0
2019-01-02 20:00:00+01:00,1396.0,380.0,757.0,0.0,,2533.0
2019-01-02 21:00:00+01:00,1674.0,344.0,595.0,0.0,,2613.0
2019-01-02 22:00:00+01:00,1961.0,309.0,959.0,0.0,,3229.0
2019-01-02 23:00:00+01:00,1870.0,243.0,982.0,0.0,,3095.0
