,BE,DE_LU,GB,NO_2,DK_1,sum
2019-01-01 00:00:00+01:00,0.0,1692.0,448.0,84.0,,2224.0
2019-01-01 01:00:00+01:00,0.0,1579.0,0.0,664.0,,2243.0
2019-01-01 02:00:00+01:00,0.0,1399.0,0.0,692.0,,2091.0
2019-01-01 03:00:00+01:00,0.0,1627.0,0.0,320.0,,1947.0
2019-01-01 04:00:00+01:00,0.0,1904.0,0.0,0.0,,1904.0
2019-01-01 05:00:00+01:00,0.0,1700.0,0.0,2.0,,1702.0
2019-01-01 06:00:00+01:00,0.0,1737.0,0.0,150.0,,1887.0
2019-01-01 07:00:00+01:00,0.0,1595.0,0.0,572.0,,2167.0
2019-01-01 08:00:00+01:00,0.0,1867.0,0.0,32.0,,1899.0
2019-01-01 09:00:00+01:00,0.0,1545.0,0.0,261.0,,1806.0
2019-01-01 10:00:00+01:00,0.0,1645.0,0.0,625.0,,2270.0
2019-01-01 11:00:00+01:00,0.0,1756.0,0.0,671.0,,2427.0
2019-01-01 12:00:00+01:00,0.0,1787.0,0.0,703.0,,2490.0
2019-01-01 13:00:00+01:00,0.0,1934.0,0.0,694.0,,2628.0
2019-01-01 14:00:00+01:00,0.0,2170.0,0.0,336.0,,2506.0
2019-01-01 15:00:00+01:00,0.0,2057.0,0.0,229.0,,2286.0
2019-01-01 16:00:00+01:00,0.0,1857.0,0.0,477.0,,2334.0
2019-01-01 17:00:00+01:00,0.0,1896.0,0.0,665.0,,2561.0
2019-01-01 18:00:00+01:00,0.0,1921.0,0.0,404.0,,2325.0
2019-01-01 19:00:00+01:00,0.0,2112.0,0.0,0.0,,2112.0
2019-01-01 20:00:00+01:00,0.0,2012.0,0.0,0.0,,2012.0
2019-01-01 21:00:00+01:00,0.0,1752.0,0.0,0.0,,1752.0
2019-01-01 22:00:00+01:00,0.0,1519.0,0.0,0.0,,1519.0
2019-01-01 23:00:00+01:00,0.0,1544.0,0.0,0.0,,1544.0
2019-01-02 00:00:00+01:00,0.0,1456.0,0.0,0.0,,1456.0
2019-01-02 01:00:00+01:00,0.0,1529.0,0.0,0.0,,1529.0
2019-01-02 02:00:00+01:00,0.0,1422.0,0.0,0.0,,1422.0
2019-01-02 03:00:00+01:00,0.0,1486.0,0.0,0.0,,1486.0
2019-01-02 04:00:00+01:00,0.0,1538.0,0.0,0.0,,1538.0
2019-01-02 05:00:00+01:00,0.0,1650.0,0.0,0.0,,1650.0
2019-01-02 06:00:00+01:00,0.0,1567.0,0.0,0.0,,1567.0
2019-01-02 07:00:00+01:00,0.0,1375.0,0.0,0.0,,1375.0
2019-01-02 08:00:00+01:00,0.0,894.0,0.0,292.0,,1186.0
2019-01-02 09:00:00+01:00,0.0,1331.0,0.0,586.0,,1917.0
2019-01-02 10:00:00+01:00,0.0,1394.0,0.0,484.0,,1878.0
2019-01-02 11:00:00+01:00,0.0,1394.0,0.0,230.0,,1624.0
2019-01-02 12:00:00+01:00,0.0,1695.0,0.0,117.0,,1812.0
2019-01-02 13:00:00+01:00,0.0,1432.0,0.0,386.0,,1818.0
2019-01-02 14:00:00+01:00,0.0,1104.0,0.0,693.0,,1797.0
2019-01-02 15:00:00+01:00,0.0,1106.0,0.0,704.0,,1810.0
2019-01-02 16:00:00+01:00,0.0,1098.0,0.0,704.0,,1802.0
2019-01-02 17:00:00+01:00,0.0,1528.0,0.0,704.0,,2232.0
2019-01-02 18:00:00+01:00,0.0,1441.0,0.0,704.0,,2145.0
2019-01-02 19:00:00+01:00,0.0,1288.0,0.0,704.0,,1992.0
2019-01-02 20:00:00+01:00,0.0,1257.0,0.0,704.0,,1961.0
2019-01-02 21:00:00+01:00,0.0,1134.0,0.0,702.0,,1836.0
2019-01-02 22:00:00+01:00,0.0,1154.0,0.0,581.0,,1735.0
2019-01-02 23:00:00+01:00,0.0,1093.0,0.0,148.0,,1241.0
2019-01-03 00:00:00+01:00,0.0,1329.0,0.0,166.0,,1495.0
2019-01-03 01:00:00+01:00,0.0,1936.0,0.0,0.0,,1936.0
2019-01-03 02:00:00+01:00,0.0,1965.0,0.0,0.0,,1965.0
2019-01-03 03:00:00+01:00,0.0,1963.0,0.0,0.0,,1963.0
2019-01-03 04:00:00+01:00,0.0,1989.0,0.0,0.0,,1989.0
2019-01-03 05:00:00+01:00,0.0,2367.0,0.0,0.0,,2367.0
2019-01-03 06:00:00+01:00,0.0,1807.0,0.0,106.0,,1913.0
2019-01-03 07:00:00+01:00,0.0,1509.0,0.0,678.0,,2187.0
2019-01-03 08:00:00+01:00,0.0,2827.0,140.0,704.0,,3671.0
2019-01-03 09:00:00+01:00,0.0,2188.0,303.0,704.0,,3195.0
2019-01-03 10:00:00+01:00,0.0,2039.0,385.0,704.0,,3128.0
2019-01-03 11:00:00+01:00,0.0,2245.0,487.0,704.0,,3436.0
2019-01-03 12:00:00+01:00,0.0,1808.0,101.0,704.0,,2613.0
2019-01-03 13:00:00+01:00,0.0,1816.0,227.0,704.0,,2747.0
2019-01-03 14:00:00+01:00,0.0,1467.0,184.0,704.0,,2355.0
2019-01-03 15:00:00+01:00,0.0,1460.0,0.0,680.0,,2140.0
2019-01-03 16:00:00+01:00,0.0,1892.0,0.0,153.0,,2045.0
2019-01-03 17:00:00+01:00,0.0,2179.0,0.0,678.0,,2857.0
2019-01-03 18:00:00+01:00,0.0,1982.0,0.0,704.0,,2686.0
2019-01-03 19:00:00+01:00,0.0,1944.0,0.0,704.0,,2648.0
