,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Waste,Wind Onshore
2019-01-01 00:00:00+01:00,4.0,,243.0,3036.0,10.0,,546.0
2019-01-01 01:00:00+01:00,4.0,,245.0,3592.0,12.0,,553.0
2019-01-01 02:00:00+01:00,4.0,,246.0,3602.0,12.0,,519.0
2019-01-01 03:00:00+01:00,4.0,,246.0,3312.0,12.0,,499.0
2019-01-01 04:00:00+01:00,4.0,,247.0,3148.0,12.0,,485.0
2019-01-01 05:00:00+01:00,4.0,,243.0,3281.0,12.0,,476.0
2019-01-01 06:00:00+01:00,4.0,,240.0,3357.0,12.0,,489.0
2019-01-01 07:00:00+01:00,4.0,,239.0,3697.0,12.0,,483.0
2019-01-01 08:00:00+01:00,4.0,,227.0,3435.0,12.0,,519.0
2019-01-01 09:00:00+01:00,4.0,,223.0,3644.0,12.0,,522.0
2019-01-01 10:00:00+01:00,4.0,,229.0,3952.0,12.0,,519.0
2019-01-01 11:00:00+01:00,4.0,,230.0,4027.0,12.0,,545.0
2019-01-01 12:00:00+01:00,4.0,,230.0,4105.0,12.0,,533.0
2019-01-01 13:00:00+01:00,4.0,,228.0,4092.0,12.0,,505.0
2019-01-01 14:00:00+01:00,4.0,,234.0,3843.0,12.0,,534.0
2019-01-01 15:00:00+01:00,4.0,,239.0,4000.0,12.0,,548.0
2019-01-01 16:00:00+01:00,4.0,,239.0,4085.0,12.0,,565.0
2019-01-01 17:00:00+01:00,4.0,,239.0,4272.0,8.0,,565.0
2019-01-01 18:00:00+01:00,4.0,,240.0,4032.0,8.0,,565.0
2019-01-01 19:00:00+01:00,4.0,,240.0,3808.0,7.0,,549.0
2019-01-01 20:00:00+01:00,4.0,,239.0,4041.0,7.0,,544.0
2019-01-01 21:00:00+01:00,4.0,,239.0,3899.0,7.0,,537.0
2019-01-01 22:00:00+01:00,4.0,,239.0,4021.0,7.0,,525.0
2019-01-01 23:00:00+01:00,4.0,,237.0,3860.0,7.0,,511.0
2019-01-02 00:00:00+01:00,4.0,,252.0,4199.0,7.0,,511.0
2019-01-02 01:00:00+01:00,4.0,,247.0,3860.0,7.0,,480.0
2019-01-02 02:00:00+01:00,4.0,,248.0,3739.0,7.0,,443.0
2019-01-02 03:00:00+01:00,4.0,,248.0,3567.0,6.0,,386.0
2019-01-02 04:00:00+01:00,4.0,,246.0,3846.0,6.0,,306.0
2019-01-02 05:00:00+01:00,4.0,,246.0,3948.0,5.0,,269.0
2019-01-02 06:00:00+01:00,4.0,,244.0,4415.0,4.0,,256.0
2019-01-02 07:00:00+01:00,4.0,,247.0,5046.0,3.0,,242.0
2019-01-02 08:00:00+01:00,4.0,,248.0,5351.0,3.0,,207.0
2019-01-02 09:00:00+01:00,4.0,,243.0,5401.0,2.0,,172.0
2019-01-02 10:00:00+01:00,4.0,,257.0,5469.0,2.0,,189.0
2019-01-02 11:00:00+01:00,5.0,,257.0,5250.0,2.0,,180.0
2019-01-02 12:00:00+01:00,5.0,,285.0,5087.0,3.0,,201.0
2019-01-02 13:00:00+01:00,5.0,,285.0,5371.0,3.0,,219.0
